Graph,Description,domination_number,total_domination_number,connected_domination_number,independence_number,zero_forcing_number,diameter,radius,order,independent_domination_number,chromatic_number,matching_number,min_maximal_matching_number,triameter,min_degree,max_degree,clique_number,residue,annihilation_number,vertex_cover_number,girth,density,estrada_index,transitivity,global_efficiency,local_efficiency,wiener_index,algebraic_connectivity,k-slater-index,k_residual_index,randic_index,augmented_randic_index,harmonic_index,atom_bond_connectivity_index,sum_connectivity_index,first_zagreb_index,second_zagreb_index,slater,sub_total_domination_number,CW_disparity,closed_CW_disparity,inverse_disparity,closed_inverse_disparity,average_vertex_disparity,average_closed_vertex_disparity,irregularity,2-residue,number_of_degree_one_nodes,average_degree,number_of_min_degree_nodes,number_of_max_degree_nodes,is_bipartite,is_eulerian,is_planar,is_regular,is_cubic,is_not_K_n,is_triangle_free,is_claw_free,is_tree,is_at_free,has_bridges,is_chordal,is_2_edge_connected,is_distance_regular,is_strongly_regular,is_semieulerian,is_bull_free,is_complete_graph,is_sub_cubic,name,paired_domination_number,power_domination_number,2-power_domination_number,2-domination_number,2-forcing_number,total_forcing_number
G38.txt,Long complex,3,5,1,6,4,4,4,13,3,3,6,4,10,2,5,3,4,8,7,3,0.243589744,52.55189531,0.279069767,0.539529915,0.269230769,182,0.530689717,1,2,6.29726765,5.333333333,6.10952381,12.78492078,7.568846879,124,195,3,3,4.666666667,4.166666667,7.666666667,6.333333333,1.923076923,2.230769231,2.494505495,6,0,2.923076923,5,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,graph-31,6,1,1,6,1,4
G39.txt,Long rising,4,5,1,5,4,6,3,12,4,3,6,4,13,2,4,3,4,7,7,3,0.242424242,39.9721602,0.206896552,0.513131313,0.208333333,174,0.187949233,2,2,5.90061346,5.166666667,5.804761905,10.98828881,6.796948552,90,125,3,4,4.416666667,3.833333333,7.333333333,5.833333333,1.833333333,2.25,2.525641026,5.5,0,2.666666667,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,graph-32,6,2,1,6,1,4
G4.txt,Short complex ,2,2,1,2,2,2,2,4,2,2,2,2,4,2,2,2,2,2,2,4,0.666666667,9.524391382,0,0.833333333,0,8,2,1,1,2,2,2,2.828427125,2,16,16,2,2,2,2,4,4,1,1,1,2,0,2,4,4,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,graph-33,2,1,1,2,1,2
G40.txt,Long rising,2,2,1,3,3,3,2,6,2,3,3,2,7,1,4,3,3,4,3,3,0.466666667,19.24706316,0.5,0.711111111,0.611111111,25,0.631350628,1,1,2.834933866,2.166666667,2.685714286,4.997527711,3.04992294,38,49,2,2,2.083333333,1.7,3.333333333,2.416666667,2,2.666666667,3,3.5,1,2.333333333,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,graph-34,2,1,1,4,1,3
G41.txt,Long rising,3,5,1,5,3,4,3,11,3,3,5,3,9,2,3,2,4,6,6,4,0.254545455,31.65238789,0,0.559090909,0,121,0.697224362,1,2,5.43265299,4.833333333,5.366666667,9.697294364,6.118950216,74,97,3,4,4.333333333,3.833333333,7.5,6,1.636363636,1.909090909,1.984848485,5,0,2.545454545,5,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-35,6,1,1,6,1,3
G42.txt,Long complex,6,6,1,10,6,4,2,16,6,2,6,6,12,2,10,2,7,10,6,4,0.166666667,55.40451507,0,0.506944444,0,280,0.585786438,2,2,7.236067977,6,6.666666667,14.14213562,7.886751346,160,240,3,4,6.333333333,6.166666667,11,10.5,1.625,1.6875,1.889705882,10,0,2.5,15,1,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-36,10,1,1,6,4,6
G43.txt,Long rising,5,5,1,8,3,4,2,17,5,3,8,6,12,2,8,3,5,10,9,3,0.191176471,73.66557055,0.128571429,0.506740196,0.168767507,327,0.599535024,2,3,8.185201516,6.583333333,7.893290043,17.2020863,10.00059659,192,350,3,4,6.366666667,5.033333333,10.91666667,7.416666667,1.882352941,2.529411765,2.869281046,7.5,0,3.058823529,6,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,graph-37,8,1,1,8,1,3
G5.txt,Medium rising,1,2,1,2,2,2,1,4,1,3,2,1,4,2,3,3,2,2,2,3,0.833333333,14.53360929,0.75,0.916666667,0.916666667,7,2,1,1,1.966326495,1.666666667,1.933333333,3.495093791,2.197102672,26,33,1,2,1.666666667,1.333333333,3,2,1.5,2,2,2,0,2.5,2,2,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-38,2,1,1,2,1,2
G6.txt,Medium rising,1,2,1,2,2,2,1,4,1,3,2,1,5,1,3,3,2,2,2,3,0.666666667,10.71922335,0.6,0.833333333,0.583333333,8,1,1,1,1.89384685,1.5,1.8,2.937816924,1.894427191,18,19,1,2,1.5,1.25,2.5,1.833333333,1.75,2.25,2.4,2.5,1,2,1,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,graph-39,2,1,1,3,1,2
G7.txt,Medium complex,1,2,1,1,3,1,1,4,1,4,2,2,3,3,3,4,1,2,3,3,1,21.18917525,1,1,1,6,4,1,1,2,2,2,4,2.449489743,36,54,1,2,2,2,4,4,1,1,1,1.5,0,3,4,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,graph-40,2,1,1,2,2,3
G9.txt,Short rising,2,3,1,2,2,2,2,5,2,3,2,2,5,2,2,2,2,2,3,5,0.5,11.49618632,0,0.75,0,15,1.381966011,1,1,2.5,2.5,2.5,3.535533906,2.5,20,20,2,3,2.5,2.5,5,5,1,1,1,2.5,0,2,5,5,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,graph-42,4,1,1,3,1,2
Gadget3.txt,Long complex,4,6,1,7,8,6,3,16,4,3,7,6,18,3,3,3,4,8,9,3,0.2,67.16162241,0.375,0.431666667,0.4375,402,0.144227493,1,3,8,8,8,16,9.797958971,144,216,4,6,8,8,16,16,1,1,1,6,0,3,16,16,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-43,6,3,1,7,2,8
Wheel6.txt,Medium complex,1,2,1,2,3,2,1,6,1,4,3,2,5,3,5,3,2,3,4,3,0.666666667,35.82614334,0.6,0.833333333,0.819444444,20,2.381966011,1,1,2.957661115,2.666666667,2.916666667,6.495610994,3.809008405,70,120,1,2,2.166666667,2,3.5,3,1.833333333,2,2,2.5,0,3.333333333,5,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-184,2,1,1,3,2,3
Wheel7.txt,Long rising,1,2,1,3,2,2,1,7,1,3,3,2,6,2,6,3,3,4,4,3,0.523809524,38.39815666,0.517241379,0.761904762,0.844761905,31,1.267949192,1,1,3.336655892,2.666666667,3.188888889,7.322865383,4.159612177,80,135,1,2,2.166666667,1.916666667,3.166666667,2.666666667,2.285714286,2.714285714,2.892857143,3.5,0,3.142857143,2,1,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,graph-185,2,1,1,3,1,2
cubic10.txt,Medium rising,3,4,1,4,4,4,3,10,3,3,5,4,9,3,3,3,3,5,6,3,0.333333333,39.41746088,0.3,0.611111111,0.333333333,91,0.561877111,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-186,4,2,1,5,2,4
cubic11.txt,Long rising,3,4,1,4,4,3,3,10,3,3,5,3,8,3,3,3,3,5,6,3,0.333333333,40.39507537,0.4,0.611111111,0.433333333,90,0.585786438,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-197,4,2,1,4,2,4
cubic12.txt,Long complex,3,4,1,4,5,3,3,10,3,3,5,4,8,3,3,3,3,5,6,3,0.333333333,38.90980405,0.2,0.611111111,0.233333333,90,0.585786438,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-201,4,2,1,5,2,5
cubic13.txt,Long complex,3,4,1,4,4,4,2,10,3,3,5,3,9,3,3,3,3,5,6,3,0.333333333,40.69425987,0.4,0.607407407,0.466666667,93,0.438447187,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,graph-202,4,2,1,4,2,5
cubic14.txt,Long rising,3,4,1,4,3,3,3,10,3,3,5,3,8,3,3,3,3,5,6,3,0.333333333,37.44960301,0.2,0.62962963,0.2,85,0.853350522,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-203,4,1,1,4,2,3
cubic15.txt,Long complex,3,4,1,4,4,3,2,10,3,3,5,3,7,3,3,3,3,5,6,3,0.333333333,36.77120324,0.2,0.644444444,0.2,81,1,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-204,4,2,1,4,2,4
cubic16.txt,Long rising,3,4,1,4,4,3,2,10,3,3,5,4,8,3,3,3,3,5,6,3,0.333333333,36.00347201,0.1,0.640740741,0.1,82,1.120614758,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-205,4,2,1,5,2,4
cubic17.txt,Long rising,3,4,1,4,4,3,3,10,3,3,5,4,8,3,3,3,3,5,6,3,0.333333333,36.68161503,0.1,0.62962963,0.1,85,0.92234873,1,2,5,5,5,10,6.123724357,90,135,3,4,5,5,10,10,1,1,1,4,0,3,10,10,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,graph-206,4,2,1,5,2,4
